 1174,  299,  1106,  2612  ,1351,  0,  0, 130 , 99 , 6 ,-8, -28 , -23 , -27 , 1039 ,-836 ,-279 , -979 
 923,  297,  1105,  2602  ,868,  0,  0, 168 , 120 , 5 ,-4, -33 , 0 , 5 , 971 ,-753 ,-230 , -974 
 1180,  300,  1105,  2610  ,923,  0,  0, 169 , 122 , 5 ,-15, -26 , -15 , 17 , 995 ,-669 ,-199 , -936 
 910,  298,  1108,  2622  ,2514,  0,  0, 169 , 29 , 8 ,-7, -94 , -50 , 10 , 1054 ,-673 ,-20 , -944 
 907,  300,  1106,  2635  ,1465,  0,  0, 170 , 130 , 6 ,-11, -31 , -43 , -8 , 1032 ,-875 ,88 , -940 
 1201,  299,  1090,  2627  ,1096,  0,  0, 161 , 46 , 7 ,-9, -77 , -30 , -22 , 1020 ,-1060 ,-71 , -953 
 923,  298,  1089,  2612  ,867,  0,  0, 161 , 49 , 7 ,-8, -86 , -31 , -19 , 981 ,-1002 ,-236 , -976 
 927,  298,  1094,  2610  ,868,  0,  0, 163 , 4 , 7 ,-11, -107 , -41 , -16 , 1028 ,-699 ,-189 , -942 
 1029,  299,  1096,  2618  ,873,  0,  0, 164 , 15 , 6 ,-13, -99 , -31 , -23 , 1031 ,-812 ,56 , -930 
 1410,  302,  1096,  2650  ,1778,  0,  0, 163 , 91 , 6 ,-9, -52 , -51 , -37 , 1015 ,-1031 ,-20 , -944 
 1147,  300,  1088,  2631  ,1074,  0,  0, 163 , 144 , 6 ,-8, -13 , -21 , -19 , 1037 ,-1081 ,-137 , -974 
 1040,  300,  1089,  2645  ,976,  0,  0, 164 , 92 , 7 ,-10, -56 , -48 , -13 , 1049 ,-1084 ,-198 , -1006 
 1912,  304,  1087,  2632  ,890,  0,  0, 161 , 154 , 5 ,-1, -4 , -4 , 14 , 971 ,-951 ,-357 , -1026 
 1463,  302,  1088,  2637  ,997,  0,  0, 167 , 109 , 5 ,-9, -36 , -33 , -1 , 1000 ,-778 ,-299 , -1073 
 1177,  300,  1088,  2642  ,1094,  0,  0, 163 , 30 , 7 ,-16, -88 , -40 , -9 , 1054 ,-744 ,-149 , -1122 
 997,  297,  1082,  2621  ,851,  0,  0, 165 , 55 , 7 ,-9, -81 , -55 , -7 , 1009 ,-790 ,-53 , -1033 
 928,  297,  1086,  2626  ,884,  0,  0, 160 , 0 , 7 ,-10, -110 , -41 , -15 , 1032 ,-1029 ,-89 , -1066 
 1186,  298,  1083,  2629  ,888,  0,  0, 161 , 27 , 6 ,-12, -88 , -28 , 8 , 1047 ,-875 ,-241 , -1104 
 1537,  304,  1083,  2643  ,857,  0,  0, 166 , 110 , 6 ,-12, -37 , -38 , -1 , 1027 ,-744 ,66 , -933 
 1486,  301,  1082,  2654  ,1635,  0,  0, 167 , 94 , 7 ,-1, -59 , -21 , -38 , 1021 ,-918 ,62 , -936 
 1603,  302,  1079,  2644  ,887,  0,  0, 158 , 85 , 5 ,-9, -46 , 0 , -17 , 994 ,-1086 ,-140 , -960 
 1704,  303,  1080,  2640  ,851,  0,  0, 161 , 139 , 4 ,-18, -14 , -38 , 3 , 1069 ,-1049 ,-209 , -992 
 1343,  299,  1078,  2639  ,1104,  0,  0, 162 , 84 , 7 ,-12, -57 , -46 , -3 , 1091 ,-989 ,-260 , -1047 
 934,  296,  1077,  2636  ,1174,  0,  0, 161 , 0 , 6 ,-6, -111 , -37 , -21 , 1032 ,-758 ,-188 , -1033 
 1164,  300,  1080,  2648  ,1265,  0,  0, 160 , 59 , 6 ,-6, -73 , -25 , -35 , 949 ,-744 ,-10 , -970 
 1054,  298,  1077,  2646  ,1770,  0,  0, 162 , 36 , 7 ,-8, -84 , -39 , -15 , 1052 ,-991 ,-5 , -974 
 922,  298,  1078,  2664  ,1688,  0,  0, 156 , 0 , 7 ,-6, -106 , -19 , -19 , 1010 ,-984 ,-241 , -1015 
 1305,  300,  1079,  2652  ,855,  0,  0, 159 , 62 , 7 ,-8, -61 , -42 , 18 , 1043 ,-727 ,-195 , -1005 
 929,  296,  1078,  2636  ,862,  0,  0, 166 , 66 , 7 ,-9, -74 , -44 , -45 , 991 ,-680 ,-92 , -942 
 928,  295,  1075,  2636  ,872,  0,  0, 156 , 0 , 6 ,-10, -109 , -27 , -19 , 1019 ,-906 ,30 , -946 
 930,  295,  1075,  2640  ,876,  0,  0, 156 , 0 , 7 ,-6, -107 , -33 , -9 , 1019 ,-999 ,-207 , -990 
 941,  296,  1075,  2637  ,886,  0,  0, 158 , 6 , 5 ,-10, -100 , -23 , -12 , 1036 ,-748 ,-193 , -967 
 921,  296,  1075,  2635  ,862,  0,  0, 163 , 5 , 7 ,-5, -113 , -44 , -36 , 1007 ,-767 ,20 , -931 
 922,  295,  1075,  2638  ,877,  0,  0, 158 , 4 , 7 ,-4, -102 , -29 , -22 , 1027 ,-1037 ,-108 , -978 
 941,  294,  1074,  2639  ,878,  0,  0, 159 , 11 , 7 ,-13, -103 , -31 , -15 , 1029 ,-871 ,-253 , -997 
 924,  296,  1074,  2639  ,866,  0,  0, 163 , 11 , 7 ,-9, -101 , -46 , -23 , 1039 ,-693 ,-82 , -932 
 936,  295,  1076,  2642  ,892,  0,  0, 158 , 0 , 7 ,-7, -109 , -23 , -29 , 1012 ,-965 ,-3 , -957 
 934,  296,  1072,  2640  ,881,  0,  0, 157 , 0 , 7 ,-6, -108 , -21 , -19 , 1024 ,-957 ,-230 , -999 
 918,  296,  1073,  2638  ,858,  0,  0, 159 , 11 , 7 ,0, -109 , -44 , -7 , 1007 ,-708 ,-155 , -946 
 940,  295,  1073,  2642  ,876,  0,  0, 158 , 5 , 6 ,-14, -107 , -44 , -25 , 1025 ,-831 ,44 , -940 
 932,  296,  1074,  2642  ,879,  0,  0, 155 , 0 , 6 ,-9, -107 , -32 , -12 , 1020 ,-1051 ,-159 , -991 
 934,  295,  1073,  2640  ,869,  0,  0, 158 , 9 , 7 ,-11, -99 , -35 , -3 , 1036 ,-821 ,-239 , -981 
 917,  296,  1073,  2640  ,853,  0,  0, 166 , 23 , 8 ,-9, -104 , -66 , -34 , 1022 ,-674 ,-28 , -924 
 937,  294,  1072,  2644  ,890,  0,  0, 158 , 0 , 6 ,-8, -108 , -24 , -32 , 1025 ,-1001 ,-7 , -955 
 932,  296,  1075,  2647  ,883,  0,  0, 155 , 7 , 7 ,-8, -99 , -21 , -19 , 1022 ,-983 ,-249 , -990 
 944,  296,  1074,  2643  ,884,  0,  0, 161 , 0 , 6 ,-7, -111 , -43 , -5 , 1000 ,-697 ,-141 , -940 
 946,  296,  1074,  2645  ,890,  0,  0, 158 , 0 , 6 ,-10, -110 , -29 , -27 , 1031 ,-898 ,43 , -951 
 933,  295,  1072,  2643  ,871,  0,  0, 156 , 0 , 7 ,-8, -107 , -25 , -23 , 1019 ,-1025 ,-191 , -992 
 925,  296,  1074,  2644  ,868,  0,  0, 160 , 4 , 7 ,-10, -105 , -45 , 25 , 1034 ,-759 ,-217 , -956 
 941,  294,  1075,  2646  ,880,  0,  0, 160 , 0 , 6 ,-11, -110 , -34 , -25 , 1016 ,-751 ,29 , -928 
 930,  294,  1071,  2644  ,874,  0,  0, 156 , 0 , 7 ,-7, -107 , -26 , -22 , 1028 ,-1035 ,-94 , -958 
 939,  295,  1074,  2646  ,880,  0,  0, 154 , 7 , 7 ,-9, -97 , -28 , -5 , 1005 ,-874 ,-259 , -987 
 917,  295,  1072,  2644  ,856,  0,  0, 162 , 8 , 8 ,-10, -112 , -53 , -19 , 1027 ,-675 ,-84 , -933 
 938,  294,  1071,  2646  ,881,  0,  0, 155 , 0 , 6 ,-8, -107 , -23 , -22 , 1013 ,-966 ,8 , -944 
 929,  295,  1072,  2646  ,879,  0,  0, 154 , 0 , 6 ,-7, -105 , -25 , -9 , 1015 ,-967 ,-231 , -969 
 936,  295,  1073,  2646  ,882,  0,  0, 159 , 10 , 7 ,-8, -101 , -44 , -9 , 1027 ,-690 ,-171 , -926 
 932,  295,  1074,  2649  ,873,  0,  0, 162 , 21 , 6 ,-13, -92 , -46 , 0 , 1027 ,-793 ,49 , -927 
 926,  295,  1073,  2647  ,848,  0,  0, 154 , 0 , 7 ,-8, -105 , -37 , -16 , 1014 ,-1052 ,-115 , -969 
 928,  294,  1071,  2646  ,877,  0,  0, 155 , 0 , 7 ,-8, -105 , -35 , -9 , 1035 ,-857 ,-262 , -966 
 934,  295,  1072,  2648  ,867,  0,  0, 161 , 2 , 6 ,-10, -110 , -36 , -22 , 1035 ,-682 ,-42 , -933 
 934,  295,  1076,  2651  ,852,  0,  0, 156 , 0 , 7 ,-8, -107 , -38 , -24 , 1024 ,-1010 ,-5 , -956 
 